provider,model,model_label,prompt_id,family,start_iteration,repair_iteration,iterations_to_repair,persisted_iterations,elapsed_sec_to_repair,resolved
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,35,parsing-error,1,2,1,1,33.85786449999432,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,connector-related-features,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,parsing-error,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,48,reference-error,1,2,1,1,31.642207458993653,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,52,parsing-error,1,2,1,1,37.8736138749955,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,63,feature-value-overriding,1,2,1,1,11.299102625009255,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,68,parsing-error,1,2,1,1,55.855724249995546,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,74,parsing-error,1,3,2,2,141.94797391702014,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,77,parsing-error,1,2,1,1,71.122926208016,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,91,parsing-error,1,2,1,1,69.00916370900813,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,94,parsing-error,1,2,1,1,14.78673633399012,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,95,parsing-error,1,2,1,1,80.77220145901083,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,96,parsing-error,1,2,1,1,43.000561126013054,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,100,feature-value-overriding,1,2,1,1,25.4301482509909,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,102,parsing-error,1,2,1,1,58.561792332999175,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,104,parsing-error,1,2,1,1,33.61947454098845,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,107,parsing-error,1,2,1,1,51.600173167011235,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,109,parsing-error,1,2,1,1,32.840173957985826,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,114,parsing-error,1,2,1,1,76.23389783300809,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,116,parsing-error,1,2,1,1,99.56337279098807,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,120,parsing-error,1,3,2,2,73.81842866800434,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,121,internal-error,2,4,2,2,204.03372353999293,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,121,parsing-error,1,2,1,1,135.43191483200644,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,121,parsing-error,3,7,4,4,340.8587784160045,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,121,reference-error,1,2,1,1,135.43191483200644,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,121,reference-error,5,6,1,1,137.8082676250051,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,134,parsing-error,1,2,1,1,29.05670904100407,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,137,feature-value-overriding,1,2,1,1,13.48848154200823,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,141,parsing-error,1,2,1,1,36.92155083399848,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,146,reference-error,1,2,1,1,20.306416584018734,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,146,type-error,1,2,1,1,20.306416584018734,True
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,147,parsing-error,1,2,1,1,16.512980165993213,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,1,parsing-error,1,2,1,1,47.937312334019225,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,1,reference-error,1,2,1,1,47.937312334019225,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,5,parsing-error,1,3,2,2,95.25776462499925,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,5,reference-error,1,3,2,2,95.25776462499925,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,6,parsing-error,1,2,1,1,78.76566375000402,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,6,reference-error,1,4,3,3,192.6774009159999,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,9,feature-crossing-specialization,1,2,1,1,89.02281716700236,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,9,parsing-error,1,2,1,1,89.02281716700236,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,9,reference-error,1,2,1,1,89.02281716700236,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,10,parsing-error,1,2,1,1,63.07632116699824,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,11,feature-chaining-feature-not-one,1,2,1,1,101.59948466700735,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,11,parsing-error,1,2,1,1,101.59948466700735,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,14,feature-chaining-feature-not-one,1,2,1,1,137.02872766600922,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,14,parsing-error,1,2,1,1,137.02872766600922,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,15,parsing-error,1,2,1,1,75.11409912499948,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,15,reference-error,1,2,1,1,75.11409912499948,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,16,feature-chaining-feature-not-one,1,2,1,1,33.51736758300103,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,16,parsing-error,1,2,1,1,33.51736758300103,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,17,feature-chaining-feature-not-one,1,2,1,1,41.543399290996604,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,17,parsing-error,1,2,1,1,41.543399290996604,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,18,parsing-error,1,2,1,1,77.0048920840054,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,21,parsing-error,1,3,2,2,66.32457308399898,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,27,parsing-error,1,3,2,2,77.76399754200247,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,30,parsing-error,1,3,2,2,112.68233404200873,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,32,parsing-error,1,2,1,1,54.877346250999835,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,32,reference-error,1,2,1,1,54.877346250999835,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,34,attribute-usage-features,4,5,1,1,39.66677087498829,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,34,parameter-membership-owning-type,4,5,1,1,39.66677087498829,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,34,parsing-error,1,5,4,4,218.00332558398077,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,34,reference-error,4,5,1,1,39.66677087498829,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,35,parsing-error,1,2,1,1,97.28783233300783,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,36,parsing-error,1,2,1,1,94.37452424998628,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,38,parsing-error,1,2,1,1,67.77474437499768,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,39,parsing-error,1,2,1,1,62.017591291994904,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,39,reference-error,1,2,1,1,62.017591291994904,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,41,parsing-error,1,2,1,1,75.23776183399605,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,41,reference-error,1,3,2,2,101.66174458399473,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,43,parsing-error,1,2,1,1,86.9227343340026,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,43,reference-error,1,2,1,1,86.9227343340026,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,44,parsing-error,1,2,1,1,71.36092224999447,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,46,connector-related-features,1,4,3,3,339.56333950100816,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,46,feature-chaining-feature-not-one,1,4,3,3,339.56333950100816,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,46,parsing-error,1,4,3,3,339.56333950100816,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,47,connector-related-features,1,2,1,1,305.63510062500427,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,47,feature-chaining-feature-not-one,1,2,1,1,305.63510062500427,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,47,parsing-error,1,2,1,1,305.63510062500427,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,48,connector-related-features,1,4,3,3,141.70908458399936,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,48,parsing-error,1,4,3,3,141.70908458399936,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,48,reference-error,1,4,3,3,141.70908458399936,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,51,parsing-error,1,2,1,1,227.20316012499097,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,51,reference-error,1,2,1,1,227.20316012499097,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,52,feature-reference-expression-referent-is-feature,1,2,1,1,120.38187512500735,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,52,parsing-error,1,2,1,1,120.38187512500735,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,53,parsing-error,1,2,1,1,64.1397058750008,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,53,reference-error,1,2,1,1,64.1397058750008,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,55,invocation-expression-instantiated-type,1,2,1,1,266.407921334001,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,55,reference-error,1,2,1,1,266.407921334001,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,56,invocation-expression-instantiated-type,1,2,1,1,261.38904733301024,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,56,reference-error,1,2,1,1,261.38904733301024,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,58,parsing-error,1,2,1,1,118.93619979200595,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,69,parsing-error,1,3,2,2,98.52272395801265,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,69,reference-error,1,2,1,1,60.16364629101008,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,70,parsing-error,1,2,1,1,93.33110724900325,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,70,reference-error,1,2,1,1,93.33110724900325,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,73,parsing-error,1,4,3,3,80.09620087599615,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,74,parsing-error,1,4,3,3,210.40488654198998,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,76,parsing-error,1,2,1,1,94.64748633300769,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,77,parsing-error,1,2,1,1,164.86688304202107,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,77,reference-error,1,2,1,1,164.86688304202107,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,78,parsing-error,1,2,1,1,55.89427533300477,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,79,parsing-error,1,3,2,2,132.00658841601398,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,80,parsing-error,1,2,1,1,97.65082708300906,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,80,reference-error,1,2,1,1,97.65082708300906,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,81,parsing-error,1,2,1,1,91.88238929198997,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,85,reference-error,1,2,1,1,49.41495020801085,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,87,parsing-error,1,2,1,1,133.6348412919906,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,87,reference-error,1,2,1,1,133.6348412919906,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,88,feature-chaining-feature-not-one,1,2,1,1,92.53356716698909,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,88,parsing-error,1,3,2,2,126.78592070798913,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,88,reference-error,1,2,1,1,92.53356716698909,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,88,type-error,1,3,2,2,126.78592070798913,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,89,parsing-error,1,5,4,4,144.35638478996407,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,90,parsing-error,1,2,1,1,49.41917304099479,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,90,reference-error,1,2,1,1,49.41917304099479,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,91,parsing-error,1,3,2,2,89.40432041599706,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,92,parsing-error,1,2,1,1,38.78569795899966,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,93,parsing-error,1,3,2,2,131.1116415830038,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,93,reference-error,1,4,3,3,159.3120587910089,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,94,parsing-error,1,3,2,2,98.62968220797484,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,94,reference-error,1,3,2,2,98.62968220797484,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,95,parsing-error,1,2,1,1,110.22773766700993,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,95,reference-error,1,2,1,1,110.22773766700993,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,96,class-specialization,3,4,1,1,108.2716482909891,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,96,parsing-error,1,3,2,2,149.36736879099044,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,96,reference-error,1,2,1,1,91.21843387499393,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,97,parsing-error,1,2,1,1,82.96283433400095,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,97,reference-error,1,2,1,1,82.96283433400095,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,100,reference-error,1,2,1,1,84.92974058300024,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,104,parsing-error,1,2,1,1,77.63242658399395,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,105,parsing-error,1,4,3,3,99.63499587400293,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,106,parsing-error,1,3,2,2,109.52980504299921,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,107,parsing-error,1,2,1,1,76.01191124999605,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,108,parsing-error,1,4,3,3,169.35277416699682,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,108,reference-error,1,2,1,1,68.25389016699046,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,109,parsing-error,1,2,1,1,72.64326733301277,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,112,parsing-error,1,2,1,1,86.2149794989964,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,113,parsing-error,1,2,1,1,72.19897308399959,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,113,reference-error,1,2,1,1,72.19897308399959,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,114,parsing-error,1,3,2,2,60.435351834006724,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,115,reference-error,1,2,1,1,107.58938137500081,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,116,parsing-error,1,2,1,1,81.27891229200759,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,119,parsing-error,1,4,3,3,180.18931279098615,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,121,parsing-error,1,3,2,2,104.26878095898428,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,121,reference-error,1,2,1,1,89.70376658398891,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,122,parsing-error,1,2,1,1,80.20971504099725,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,122,reference-error,1,2,1,1,80.20971504099725,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,124,parsing-error,1,2,1,1,88.32765524901333,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,125,parsing-error,1,2,1,1,45.72814579101396,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,125,reference-error,1,3,2,2,84.04286883301393,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,129,parsing-error,2,3,1,1,50.80524004199833,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,129,reference-error,1,2,1,1,67.57441808300791,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,130,reference-error,1,2,1,1,32.163805042000604,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,132,feature-reference-expression-referent-is-feature,1,2,1,1,75.95397458401567,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,132,parsing-error,1,3,2,2,108.01434108401008,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,134,parsing-error,1,2,1,1,87.68329220799205,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,134,reference-error,1,2,1,1,87.68329220799205,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,135,parsing-error,1,2,1,1,39.68298587499885,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,136,parsing-error,2,5,3,3,176.83922195900232,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,136,reference-error,1,2,1,1,74.0727432499989,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,137,invocation-expression-instantiated-type,2,3,1,1,198.6996242079913,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,137,parsing-error,1,3,2,2,224.35612666599627,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,137,quantity-operator-expression,3,4,1,1,206.09744312398834,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,137,reference-error,1,4,3,3,331.94457112399687,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,138,parsing-error,1,3,2,2,134.84528287599096,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,138,reference-error,1,3,2,2,134.84528287599096,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,139,parsing-error,1,2,1,1,104.26391987499665,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,139,reference-error,1,2,1,1,104.26391987499665,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,140,parsing-error,1,3,2,2,88.00254370900802,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,140,reference-error,1,3,2,2,88.00254370900802,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,141,parsing-error,3,4,1,1,91.91020987498632,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,141,reference-error,1,3,2,2,158.16858262498863,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,142,parsing-error,1,2,1,1,78.58138458401663,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,143,parsing-error,1,2,1,1,78.75348220900923,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,143,reference-error,1,2,1,1,78.75348220900923,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,144,parsing-error,1,8,7,7,316.44849920799606,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,144,reference-error,1,2,1,1,61.905475292005576,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,144,reference-error,7,8,1,1,62.7353910820093,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,146,reference-error,1,2,1,1,101.61906204100524,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,147,parsing-error,1,2,1,1,166.74742812600743,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,149,parsing-error,1,2,1,1,93.73042891699879,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,149,reference-error,1,3,2,2,125.67805337499885,True
deepseek_reasoner,deepseek-reasoner,DeepSeek Reasoner,150,reference-error,1,2,1,1,73.99691141599033,True
mistral_large,mistral-large-latest,Mistral Large,4,parsing-error,1,2,1,1,6.616298791996087,True
mistral_large,mistral-large-latest,Mistral Large,7,parsing-error,1,2,1,1,6.18410333400243,True
mistral_large,mistral-large-latest,Mistral Large,9,feature-crossing-specialization,1,5,4,4,24.42068583299988,True
mistral_large,mistral-large-latest,Mistral Large,9,parsing-error,1,5,4,4,24.42068583299988,True
mistral_large,mistral-large-latest,Mistral Large,9,reference-error,1,2,1,1,10.603079082997283,True
mistral_large,mistral-large-latest,Mistral Large,9,reference-error,4,5,1,1,9.627819583998644,True
mistral_large,mistral-large-latest,Mistral Large,10,parsing-error,1,2,1,1,9.13772870899993,True
mistral_large,mistral-large-latest,Mistral Large,11,parsing-error,1,2,1,1,8.23780345900741,True
mistral_large,mistral-large-latest,Mistral Large,13,feature-reference-expression-referent-is-feature,1,2,1,1,11.11830733298848,True
mistral_large,mistral-large-latest,Mistral Large,13,parsing-error,1,2,1,1,11.11830733298848,True
mistral_large,mistral-large-latest,Mistral Large,14,parsing-error,1,2,1,1,7.747604500997113,True
mistral_large,mistral-large-latest,Mistral Large,14,reference-error,1,2,1,1,7.747604500997113,True
mistral_large,mistral-large-latest,Mistral Large,15,feature-reference-expression-referent-is-feature,1,2,1,1,10.565972832991974,True
mistral_large,mistral-large-latest,Mistral Large,15,parsing-error,1,2,1,1,10.565972832991974,True
mistral_large,mistral-large-latest,Mistral Large,16,parsing-error,1,2,1,1,7.7307216659828555,True
mistral_large,mistral-large-latest,Mistral Large,17,parsing-error,1,2,1,1,8.696724792011082,True
mistral_large,mistral-large-latest,Mistral Large,18,reference-error,1,2,1,1,9.073559041004046,True
mistral_large,mistral-large-latest,Mistral Large,19,reference-error,1,2,1,1,8.52033516598749,True
mistral_large,mistral-large-latest,Mistral Large,21,reference-error,1,2,1,1,9.48776070799795,True
mistral_large,mistral-large-latest,Mistral Large,23,parsing-error,1,2,1,1,12.215214292009478,True
mistral_large,mistral-large-latest,Mistral Large,23,reference-error,1,2,1,1,12.215214292009478,True
mistral_large,mistral-large-latest,Mistral Large,27,parsing-error,1,2,1,1,8.088419125007931,True
mistral_large,mistral-large-latest,Mistral Large,28,parsing-error,1,2,1,1,7.879836332998821,True
mistral_large,mistral-large-latest,Mistral Large,31,parsing-error,1,3,2,2,17.17697324999608,True
mistral_large,mistral-large-latest,Mistral Large,31,reference-error,1,3,2,2,17.17697324999608,True
mistral_large,mistral-large-latest,Mistral Large,34,parsing-error,1,2,1,1,8.749878250004258,True
mistral_large,mistral-large-latest,Mistral Large,34,reference-error,1,2,1,1,8.749878250004258,True
mistral_large,mistral-large-latest,Mistral Large,34,type-error,1,2,1,1,8.749878250004258,True
mistral_large,mistral-large-latest,Mistral Large,35,parsing-error,1,2,1,1,9.087083457998233,True
mistral_large,mistral-large-latest,Mistral Large,36,feature-chaining-feature-not-one,3,4,1,1,8.77706683400902,True
mistral_large,mistral-large-latest,Mistral Large,36,parsing-error,1,4,3,3,16.451484251010697,True
mistral_large,mistral-large-latest,Mistral Large,36,reference-error,1,5,4,4,20.374968418007484,True
mistral_large,mistral-large-latest,Mistral Large,38,parsing-error,1,2,1,1,8.549472209007945,True
mistral_large,mistral-large-latest,Mistral Large,41,parsing-error,1,2,1,1,8.181435500999214,True
mistral_large,mistral-large-latest,Mistral Large,42,parsing-error,1,5,4,4,24.040918666985817,True
mistral_large,mistral-large-latest,Mistral Large,42,reference-error,3,4,1,1,8.879410042005475,True
mistral_large,mistral-large-latest,Mistral Large,47,parsing-error,1,2,1,1,10.715251999994507,True
mistral_large,mistral-large-latest,Mistral Large,48,parsing-error,1,2,1,1,12.00341670900525,True
mistral_large,mistral-large-latest,Mistral Large,49,parsing-error,1,2,1,1,11.417801042000065,True
mistral_large,mistral-large-latest,Mistral Large,49,reference-error,2,3,1,1,10.261901417004992,True
mistral_large,mistral-large-latest,Mistral Large,50,reference-error,1,2,1,1,10.915166334001697,True
mistral_large,mistral-large-latest,Mistral Large,51,parsing-error,1,4,3,3,22.95742058401811,True
mistral_large,mistral-large-latest,Mistral Large,51,reference-error,1,5,4,4,28.28123183401476,True
mistral_large,mistral-large-latest,Mistral Large,51,type-error,2,3,1,1,11.114611042008619,True
mistral_large,mistral-large-latest,Mistral Large,51,type-error,4,5,1,1,10.862018917003297,True
mistral_large,mistral-large-latest,Mistral Large,52,parsing-error,1,2,1,1,8.651868501008721,True
